Step,X_ref,Y_ref,X_act,Y_act,Lat_Error,Delta_f,Vx,X_est,Y_est
181,82.5,-10.4821,81.3355,-9.99969,0.0690182,-0.099985,10.1133,81.4659,-10.0536
182,83,-10.638,81.8135,-10.1667,0.155446,-0.038082,10.1125,81.9548,-10.1136
183,83.5,-10.7886,82.296,-10.3175,0.222426,0.0499392,10.1103,82.5637,-10.2594
184,84,-10.9337,82.7827,-10.455,0.139634,0.045787,10.1098,82.9597,-10.4458
185,84.5,-11.0734,83.2683,-10.5966,0.0679943,-0.00403541,10.114,83.3677,-10.6453
186,84.5,-11.0734,83.7514,-10.7461,0.162102,0.0838335,10.1148,83.7233,-10.6861
187,85,-11.2076,84.242,-10.8702,0.0299207,0.0691359,10.1104,84.252,-10.9599
188,85.5,-11.3361,84.7314,-10.9969,0.0639351,-0.00660327,10.1089,84.6776,-11.0402
189,86,-11.459,85.2178,-11.1351,0.193854,0.085788,10.1109,85.1904,-11.0634
190,86.5,-11.576,85.7118,-11.2447,0.0202078,0.0215698,10.111,85.7089,-11.3122
191,87,-11.6873,86.2015,-11.3692,0.0270821,-0.00691742,10.1071,86.0601,-11.4127
192,87.5,-11.7927,86.6912,-11.4942,0.0613794,0.156181,10.107,86.5563,-11.5612
193,88,-11.8922,87.1916,-11.5765,0.174275,0.0554644,10.1095,87.0795,-11.543
194,88.5,-11.9856,87.686,-11.6823,0.0627453,0.0104913,10.1114,87.5643,-11.7074
195,89,-12.0731,88.1807,-11.7867,0.151291,-0.0402214,10.1136,88.0813,-11.6956
196,89.5,-12.1545,88.674,-11.8984,0.143533,0.123114,10.1131,88.7112,-11.9026
197,90,-12.2297,89.1759,-11.9687,0.279759,0.0674026,10.1119,89.1656,-11.8012
198,90.5,-12.2988,89.674,-12.0544,0.0816919,-0.0146914,10.1057,89.676,-12.0208
199,91,-12.3617,90.17,-12.1506,0.0232204,0.00122414,10.1045,90.1843,-12.1676
200,91.5,-12.4184,90.6677,-12.2369,0.034545,0.17336,10.1014,90.5776,-12.2857
